Код | Лексема | Тип
----------------------------------------
W1 | int | Служебное слово
W2 | char | Служебное слово
W3 | float | Служебное слово
W4 | double | Служебное слово
W5 | return | Служебное слово
W6 | if | Служебное слово
W7 | else | Служебное слово
W8 | for | Служебное слово
W9 | while | Служебное слово
W10 | do | Служебное слово
W11 | switch | Служебное слово
W12 | case | Служебное слово
W13 | break | Служебное слово
W14 | continue | Служебное слово
W15 | default | Служебное слово
W16 | void | Служебное слово
W17 | static | Служебное слово
W18 | struct | Служебное слово
W19 | typedef | Служебное слово
W20 | union | Служебное слово
W21 | unsigned | Служебное слово
W22 | signed | Служебное слово
W23 | long | Служебное слово
W24 | short | Служебное слово
W25 | goto | Служебное слово
W26 | sizeof | Служебное слово
W27 | main | Служебное слово
W28 | printf | Служебное слово
W29 | scanf | Служебное слово
O1 | == | Операция
O2 | != | Операция
O3 | <= | Операция
O4 | >= | Операция
O5 | && | Операция
O6 | || | Операция
O7 | += | Операция
O8 | -= | Операция
O9 | *= | Операция
O10 | /= | Операция
O11 | %= | Операция
O12 | + | Операция
O13 | - | Операция
O14 | * | Операция
O15 | / | Операция
O16 | % | Операция
O17 | = | Операция
O18 | < | Операция
O19 | > | Операция
R1 | ( | Разделитель
R2 | ) | Разделитель
R3 | { | Разделитель
R4 | } | Разделитель
R5 | [ | Разделитель
R6 | ] | Разделитель
R7 | , | Разделитель
R8 | ; | Разделитель
R9 | . | Разделитель
